Ticker,Company,Sector,Country,MarketCap,TotalDebt,Revenue,EBITDA,Debt_to_EBITDA,EBITDA_Margin,Debt_to_Revenue,Volatility_1Y,Max_Drawdown_1Y,sector_shock,Stress_EBITDA,Stress_Debt_to_EBITDA,Debt_EBITDA_change
VOW3.DE,VOLKSWAGEN AG                 V,Consumer Cyclical,Germany,38108463104.0,279032987648.0,320011993088.0,21851000832.0,12.769803534095622,0.0682818185066932,0.8719454072812477,0.2805632302224123,-0.2532978350860262,0.3,15295700582.4,18.242576477279464,5.472772943183841
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,Consumer Cyclical,Germany,36974112768.0,112183001088.0,130702000128.0,14666999808.0,7.648667250054142,0.1122171029795734,0.8583112804558167,0.2925885927201772,-0.3514161842265802,0.3,10266899865.599998,10.926667500077349,3.278000250023206
MBG.DE,Mercedes-Benz Group AG        N,Consumer Cyclical,Germany,42510245888.0,99530997760.0,130591997952.0,11079000064.0,8.98375279222311,0.0848367452657563,0.7621523471643593,0.2633588466376207,-0.2326384045476467,0.3,7755300044.799999,12.833932560318727,3.850179768095618
VOLV-B.ST,"Volvo, AB ser. B",Industrials,Sweden,647044464640.0,257632993280.0,468155990016.0,53589000192.0,4.807572306946316,0.1144682570229818,0.5503144224881006,0.2701049633090447,-0.1843148591575258,0.2,42871200153.600006,6.009465383682894,1.201893076736578
RR.L,ROLLS-ROYCE HOLDINGS PLC ORD SH,Industrials,United Kingdom,117622603776.0,4361999872.0,21206999040.0,4597000192.0,0.94887963667938,0.2167680671522301,0.2056868048030995,0.3667428695293517,-0.1939485039505764,0.2,3677600153.6000004,1.186099545849225,0.23721990916984492
NESN.SW,NESTLE N,Consumer Defensive,Switzerland,213211299840.0,57851998208.0,89884999680.0,16652000256.0,3.47417711497782,0.1852589454890456,0.6436223887629656,0.2118462261408179,-0.1530119102592533,0.1,14986800230.4,3.8601967944198,0.3860196794419801
ULVR.L,UNILEVER PLC ORD 3.5P,Consumer Defensive,United Kingdom,97852252160.0,28277999616.0,50503000064.0,10849000448.0,2.6065073691846896,0.2148189302467494,0.5599271247285244,0.2014567275927134,-0.2546243578055547,0.1,9764100403.2,2.8961192990940994,0.28961192990940976
OR.PA,L'OREAL,Consumer Defensive,France,205852147712.0,11916000256.0,44052000768.0,9894500352.0,1.2043054052336648,0.2246095564219527,0.2704985028660934,0.2590312013048877,-0.1519547616821507,0.1,8905050316.800001,1.3381171169262942,0.1338117116926294
DGE.L,DIAGEO PLC ORD 28 101/108P,Consumer Defensive,United Kingdom,35132878848.0,24290000896.0,19804000256.0,6184999936.0,3.9272435161428594,0.3123106370454694,1.2265199243592655,0.3033325532384229,-0.3574409802937348,0.1,5566499942.400001,4.363603906825399,0.43636039068253973
HEIA.AS,HEINEKEN,Consumer Defensive,Netherlands,41471782912.0,19278999552.0,28753000448.0,5519000064.0,3.4932051691311594,0.1919451875633344,0.6705039213860899,0.2226247666818666,-0.1954568537852108,0.1,4967100057.6,3.881339076812399,0.3881339076812398
